[inf, '1', inf, inf] [inf, inf, '2', inf] [inf, inf, inf, '3'] ['4', '7', inf, inf] 
[inf, '1', inf, inf] [inf, inf, '2', inf] [inf, inf, inf, '3'] ['4', '7', inf, inf] 
[inf, '1', inf, inf] [inf, inf, '2', inf] [inf, inf, inf, '3'] ['4', '7', inf, inf] 
[inf, '1', inf, inf] [inf, inf, '2', inf] [inf, inf, inf, '3'] ['4', '7', inf, inf] 
[inf, '1', inf, inf] [inf, inf, '2', inf] [inf, inf, inf, '3'] ['4', '7', inf, inf] 
[inf, '1', inf, inf] [inf, inf, '2', inf] [inf, inf, inf, '3'] ['4', '7', inf, inf] 
[inf, '1', inf, inf] [inf, inf, '2', inf] [inf, inf, inf, '3'] ['4', '7', inf, inf] 
[inf, '1', inf, inf] [inf, inf, '2', inf] [inf, inf, inf, '3'] ['4', '7', inf, inf] 
[inf, '1', inf, inf] [inf, inf, '2', inf] [inf, inf, inf, '3'] ['4', '7', inf, inf] 
[inf, '1', inf, inf] [inf, inf, '2', inf] [inf, inf, inf, '3'] ['4', '7', inf, inf] 
[inf, '1', inf, inf] [inf, inf, '2', inf] [inf, inf, inf, '3'] ['4', '7', inf, inf] 
[inf, '1', inf, inf] [inf, inf, '2', inf] [inf, inf, inf, '3'] ['4', '7', inf, inf] 
[inf, '1', inf, inf] [inf, inf, '2', inf] [inf, inf, inf, '3'] ['4', '7', inf, inf] 
[inf, '1', inf, inf] [inf, inf, '2', inf] [inf, inf, inf, '3'] ['4', '7', inf, inf] 
[inf, '1', inf, inf] [inf, inf, '2', inf] [inf, inf, inf, '3'] ['4', '7', inf, inf] 
[inf, '1', inf, inf] [inf, inf, '2', inf] [inf, inf, inf, '3'] ['4', '7', inf, inf] 
